bedrooms,bathrooms,sqft_living,sqft_lot,floors,condition,sqft_above,sqft_basement,yr_built,water_view_score,zipcode,sqft_per_bedroom,age,predicted_price
2.0,1.0,990,4802,1.0,3,990,0,1947,0,98117,330.0,78,423594.55346581235
2.0,1.0,900,3400,1.0,5,900,0,1905,0,98108,300.0,120,272310.9888878727
4.0,2.0,2490,9525,2.0,5,2490,0,1968,0,98040,498.0,57,916793.2400676061
5.0,4.5,4400,15580,2.0,3,3390,1010,2003,0,98004,733.3333333333334,22,1440113.8025204963
4.0,1.75,1710,10440,1.0,4,1710,0,1955,0,98006,342.0,70,585815.6275846288
3.0,3.5,4080,217697,1.5,3,4080,0,2000,3,98092,1020.0,25,932099.462627416
5.0,3.0,2100,9752,1.0,3,1200,900,2007,0,98003,350.0,18,242019.87402746407
3.0,1.0,1660,7500,1.0,4,1060,600,1940,0,98125,415.0,85,370950.7700935934
4.0,2.5,2500,206474,1.0,3,2500,0,1997,0,98053,500.0,28,667092.1365623144
4.0,2.25,2130,11843,2.0,4,2130,0,1972,0,98040,426.0,53,826920.9622979539
4.0,3.0,2580,209523,2.0,3,2580,0,1984,0,98053,516.0,41,671614.2705873485
4.0,2.25,2060,8470,1.0,3,1440,620,1983,0,98006,412.0,42,587785.3336760034
3.0,1.0,1340,13750,1.0,4,1340,0,1955,0,98006,335.0,70,503642.0612980664
3.0,1.75,1230,9600,1.0,4,1230,0,1984,0,98042,307.5,41,169904.67416810268
3.0,1.0,1560,14333,1.0,4,1560,0,1953,0,98166,390.0,72,354429.93112825777
3.0,1.75,1520,15090,1.0,4,1520,0,1968,0,98038,380.0,57,262653.15491297416
4.0,2.5,3150,7277,2.0,3,3150,0,2006,0,98056,630.0,19,624386.3547907288
4.0,1.5,1880,6200,1.0,5,1440,440,1954,2,98146,376.0,71,499195.25402984436
4.0,2.5,1990,2175,2.0,3,1680,310,2005,0,98107,398.0,20,601657.2204077276
2.0,1.0,740,11250,1.0,2,740,0,1938,0,98146,246.66666666666666,87,152958.31619034853
2.0,2.5,1230,1391,2.0,3,870,360,2004,0,98112,410.0,21,776432.3576048901
2.0,2.25,1730,31491,2.0,4,1730,0,1947,6,98070,576.6666666666666,78,665468.0568895681
5.0,2.5,2690,5557,2.0,3,2690,0,2012,0,98178,448.3333333333333,13,449862.5277241092
4.0,2.5,1740,7500,1.0,4,1220,520,1976,0,98052,348.0,49,520979.84921503573
4.0,2.5,2160,5298,2.5,4,2160,0,1902,0,98122,432.0,123,694793.2476378903
4.0,3.5,4680,9700,2.0,3,3360,1320,2005,0,98006,936.0,20,1069468.1755450396
3.0,1.75,1660,9673,1.0,3,1130,530,1976,0,98072,415.0,49,375680.8520088452
5.0,3.0,2870,5700,1.0,3,1950,920,1964,0,98103,478.3333333333333,61,768470.3772725312
3.0,4.5,4380,47044,2.0,3,3720,660,1968,7,98166,1095.0,57,1303471.9477104428
2.0,2.5,1160,2174,2.0,3,1160,0,1998,0,98106,386.6666666666667,27,281181.37657967187
3.0,2.5,2040,4627,2.0,3,2040,0,1992,0,98052,510.0,33,595383.4108352934
3.0,2.25,1720,4000,1.5,4,1450,270,1921,0,98105,430.0,104,810417.1435433511
5.0,3.25,3160,5000,2.0,3,2180,980,2005,2,98199,526.6666666666666,20,962800.198874745
3.0,1.75,1260,6908,1.0,3,1260,0,1994,0,98038,315.0,31,181286.25055719406
3.0,2.5,2120,7201,2.0,3,2120,0,2003,0,98133,530.0,22,485391.80835328734
4.0,1.75,2670,189486,2.0,3,2670,0,1972,4,98092,534.0,53,612591.110810196
3.0,1.0,1010,9450,1.0,4,1010,0,1959,0,98198,252.5,66,104619.22591620055
4.0,2.75,3040,2800,2.0,3,2100,940,1906,0,98102,608.0,119,846324.3038757062
4.0,2.5,2990,16809,2.0,3,2990,0,1990,0,98077,598.0,35,685712.2750527911
4.0,2.5,2680,7200,1.0,3,1380,1300,1952,0,98033,536.0,73,711713.1250768536
3.0,1.0,1150,8145,1.0,4,990,160,1932,0,98155,287.5,93,270751.7653060422
4.0,2.5,2220,7064,2.0,3,2220,0,1988,0,98029,444.0,37,582572.7283807097
4.0,2.75,4140,24190,2.0,3,4140,0,2002,0,98092,828.0,23,724044.2729734486
3.0,1.75,2290,14800,1.0,3,1620,670,1965,0,98155,572.5,60,455423.1499738427
3.0,1.5,1270,11600,1.0,4,1270,0,1964,0,98031,317.5,61,190531.16803404846
4.0,2.5,2230,5970,2.0,4,2230,0,2002,0,98042,446.0,23,350512.3070080738
3.0,3.5,3950,111078,1.5,3,2460,1490,1989,0,98053,987.5,36,863207.9139292877
4.0,2.5,3250,4500,2.0,3,3250,0,2009,0,98059,650.0,16,636723.2014570367
4.0,1.75,2330,5000,1.5,4,1510,820,1929,0,98117,466.0,96,625570.3600721303
3.0,1.0,910,7700,1.0,4,910,0,1971,0,98034,227.5,54,293830.02442305314
2.0,1.0,1260,4080,1.5,5,1260,0,1926,0,98115,420.0,99,543055.0951215365
3.0,2.25,1950,8868,1.0,3,1350,600,1964,0,98155,487.5,61,404956.30647384975
3.0,1.0,990,8012,1.0,4,990,0,1966,0,98058,247.5,59,141443.51747085823
4.0,2.75,2050,3960,1.0,4,1180,870,1986,0,98116,410.0,39,611463.6128241102
3.0,2.5,2600,5540,2.0,3,2600,0,2004,0,98038,650.0,21,452329.4425888292
4.0,2.25,2220,6953,2.0,4,2220,0,1999,0,98038,444.0,26,370478.41356500133
3.0,2.0,1630,8702,1.0,3,1630,0,1987,0,98056,407.5,38,343448.01311548427
4.0,2.5,1950,2617,1.5,4,1250,700,1910,0,98107,390.0,115,612476.6320246254
4.0,2.75,3330,9143,2.0,4,3330,0,1995,0,98033,666.0,30,958820.6766232394
4.0,2.5,3040,6887,2.0,3,3040,0,1999,0,98074,608.0,26,712649.4200953939
2.0,1.0,800,6500,1.0,4,800,0,1953,0,98133,266.6666666666667,72,242829.9809680049
4.0,1.5,2670,10026,2.0,3,2670,0,1996,0,98092,534.0,29,383579.8404165002
4.0,2.5,2940,10382,2.0,4,2940,0,1991,0,98059,588.0,34,597352.7396123223
4.0,3.5,2650,3060,2.0,3,2060,590,2001,0,98103,530.0,24,747819.1136330713
3.0,2.5,1820,4883,2.0,3,1820,0,2005,0,98028,455.0,20,403630.5832132445
4.0,2.5,2370,10858,2.0,3,2370,0,2003,0,98004,474.0,22,1073670.9250989417
3.0,1.5,1500,5000,1.5,4,1140,360,1927,0,98117,375.0,98,505439.899253216
3.0,1.75,1960,8136,1.0,3,980,980,1948,0,98106,490.0,77,358693.7652040585
1.0,1.75,750,20339,1.0,4,550,200,1946,0,98059,375.0,79,189186.81891544507
3.0,1.0,1050,5664,1.0,4,910,140,1947,0,98115,262.5,78,457651.8390684774
6.0,2.75,2660,8400,1.0,5,1550,1110,1962,0,98006,380.0,63,695311.080805504
5.0,2.75,2920,11880,1.0,5,1660,1260,1968,0,98027,486.6666666666667,57,602753.7433410335
5.0,2.75,3030,10335,2.0,3,3030,0,2013,0,98056,505.0,12,588012.545300558
2.0,1.5,1920,3408,1.0,4,960,960,1912,0,98122,640.0,113,604182.4019997359
4.0,2.5,2030,3905,1.5,4,1630,400,1926,0,98103,406.0,99,659582.9644562214
4.0,2.5,2650,5600,2.0,3,2650,0,2014,0,98059,530.0,11,510845.10268248984
2.0,1.0,1490,6000,1.0,3,1090,400,1946,0,98112,496.6666666666667,79,826541.403620118
3.0,2.5,1700,3575,2.0,3,1700,0,2000,0,98108,425.0,25,374947.8193949196
4.0,3.25,3770,4103,2.0,5,2710,1060,1925,0,98109,754.0,100,1217993.753926319
3.0,2.0,1510,7066,1.0,3,1230,280,1973,2,98125,377.5,52,476181.43958677026
2.0,1.0,940,5040,1.0,3,940,0,1926,0,98126,313.3333333333333,99,310301.6413672488
3.0,2.0,1670,7757,1.0,3,1670,0,1992,0,98030,417.5,33,274708.3584149631
3.0,2.0,1830,9152,1.0,5,1830,0,1959,0,98006,457.5,66,655114.1805303766
3.0,2.5,2070,4132,2.0,3,2070,0,1999,0,98074,517.5,26,527918.3365489076
4.0,2.5,2700,8810,2.0,3,2700,0,2004,0,98052,540.0,21,713184.702395312
1.0,1.25,1100,638,3.0,3,1100,0,2014,0,98112,550.0,11,735468.4488772549
3.0,1.75,2060,12558,1.0,4,1350,710,1984,0,98052,515.0,41,564142.3747630045
5.0,3.25,5270,17232,2.0,3,4010,1260,1977,1,98040,878.3333333333334,48,1402667.63636711
4.0,2.5,2520,8515,2.0,3,2520,0,1999,0,98019,504.0,26,477508.8664756823
4.0,2.25,1995,7102,2.0,4,1995,0,1981,0,98023,399.0,44,267007.17041271087
4.0,2.75,3130,139392,2.0,4,3130,0,1981,0,98030,626.0,44,580571.7798995068
1.0,1.0,550,1279,2.0,3,550,0,2008,0,98122,275.0,17,335328.1009416671
2.0,1.0,910,7000,1.0,3,910,0,1952,0,98115,303.3333333333333,73,435422.35051990417
3.0,2.0,2180,4976,1.5,4,1680,500,1930,2,98126,545.0,95,647981.3516162843
2.0,2.5,1740,2500,2.0,3,1210,530,1994,2,98112,580.0,31,977434.6354640012
3.0,3.25,1730,1229,2.0,3,1320,410,2008,2,98119,432.5,17,824539.263246642
4.0,2.25,2060,11385,1.0,4,1200,860,1962,0,98023,412.0,63,233318.39756896428
3.0,2.25,2070,15002,1.5,3,2070,0,1955,0,98155,517.5,70,473631.936886232
3.0,2.5,1880,7000,2.0,3,1880,0,1993,0,98031,470.0,32,290327.1161261827
3.0,2.25,1710,4140,2.0,3,1710,0,2004,0,98029,427.5,21,482578.37731674354
4.0,1.5,1130,7840,1.0,4,1130,0,1970,0,98023,226.0,55,97096.75365208398
4.0,2.5,3190,7869,2.0,3,3190,0,2001,2,98065,638.0,24,739967.3286679817
4.0,2.0,2030,9600,1.5,3,1430,600,1947,0,98188,406.0,78,230376.8371600142
4.0,2.25,1950,9800,1.0,3,1330,620,1968,0,98033,390.0,57,612961.2438022731
3.0,1.75,3320,478288,1.5,4,2260,1060,1933,3,98022,830.0,92,675698.6433808892
3.0,2.5,1660,1545,2.0,3,1400,260,2002,2,98109,415.0,23,896812.0947525043
3.0,1.0,1140,4200,2.0,4,1140,0,1904,0,98144,285.0,121,428960.82848533493
2.0,1.5,1190,3400,1.0,3,990,200,1919,0,98115,396.6666666666667,106,497151.4590346217
4.0,2.5,3200,7500,1.5,5,1860,1340,1948,1,98115,640.0,77,879773.7347704063
3.0,1.0,1010,25000,1.0,3,1010,0,1966,0,98014,252.5,59,285014.62915085925
4.0,2.5,2050,5787,2.0,3,2050,0,2002,0,98198,410.0,23,288719.73588575533
2.0,1.0,940,4800,1.0,4,940,0,1911,0,98116,313.3333333333333,114,459505.3502762964
5.0,2.0,1700,7314,1.0,3,1000,700,1956,0,98108,283.3333333333333,69,301330.10465511587
4.0,3.75,4100,22798,1.5,5,2540,1560,1934,3,98040,820.0,91,1337475.0334045799
4.0,2.75,1680,11180,1.0,4,1680,0,1966,0,98052,336.0,59,566335.7696103656
3.0,1.75,1230,7500,1.0,3,1230,0,1987,0,98034,307.5,38,357615.61657504464
4.0,2.25,2560,9731,2.0,4,2560,0,1973,0,98034,512.0,52,627850.675073929
3.0,1.0,1330,5412,2.0,5,1330,0,1905,0,98022,332.5,120,178784.96540134907
3.0,1.75,1560,8078,1.5,4,1560,0,1928,8,98040,390.0,97,1160229.0421058973
3.0,2.25,1680,35127,2.0,3,1680,0,1987,0,98092,420.0,38,217846.6925175726
2.0,1.0,1260,4377,1.0,4,1260,0,1947,0,98103,420.0,78,537473.1570922129
4.0,1.75,2330,4000,2.0,5,1300,1030,1924,0,98105,466.0,101,841613.0546026081
3.0,2.75,2100,10362,2.0,3,1510,590,1998,0,98068,525.0,27,272372.58933959506
4.0,3.5,3410,10769,2.0,3,3410,0,2008,0,98004,682.0,17,1317452.959700291
3.0,2.5,2780,33503,1.5,4,2110,670,1969,1,98075,695.0,56,732806.2688974016
2.0,1.0,1210,4800,1.0,3,1060,150,1950,0,98108,403.3333333333333,75,272225.9016897412
3.0,2.25,1470,4653,2.0,4,1470,0,1985,0,98029,367.5,40,457493.3234710776
4.0,2.75,3730,8014,2.0,3,3730,0,2012,0,98074,746.0,13,860660.9405958964
3.0,2.25,1290,2500,2.0,4,1290,0,1987,0,98112,322.5,38,823222.0858751452
4.0,3.5,3810,9792,2.0,3,3810,0,1938,0,98146,762.0,87,823974.7515241985
3.0,1.0,1480,6978,2.0,4,1480,0,1949,0,98004,370.0,76,894550.7087118068
3.0,1.5,1440,28516,1.0,4,1440,0,1975,0,98075,360.0,50,445988.563854096
3.0,2.25,1640,8400,1.0,3,1180,460,1968,0,98032,410.0,57,163793.3529204693
6.0,4.5,3830,4800,3.0,3,3050,780,1919,0,98119,547.1428571428571,106,1094037.204722859
4.0,2.25,2410,4560,2.0,5,1800,610,1929,2,98117,482.0,96,789282.81571352
4.0,2.25,2450,62290,2.0,3,2450,0,1976,0,98077,490.0,49,570127.565999105
4.0,4.25,4960,6000,2.5,3,3680,1280,1909,0,98109,992.0,116,1419754.8894313923
3.0,2.5,2430,15264,2.0,3,2430,0,1997,0,98030,607.5,28,418278.95636029483
3.0,1.0,910,8000,1.0,4,740,170,1950,0,98177,227.5,75,362915.3363371586
4.0,2.5,2540,38677,2.0,3,2540,0,1987,0,98053,508.0,38,644790.4605723779
4.0,3.0,3130,5700,1.5,3,1750,1380,1953,0,98115,626.0,72,778779.8079912412
3.0,1.75,2330,12141,1.0,3,1390,940,1983,0,98072,582.5,42,476445.34357555496
3.0,2.5,1720,8755,1.0,3,1000,720,1983,0,98023,430.0,42,173690.16650556837
4.0,2.25,2530,9200,1.0,5,1570,960,1976,0,98006,506.0,49,697842.7521782302
4.0,2.0,2090,6630,1.0,3,1070,1020,1974,0,98178,418.0,51,269276.76478182484
3.0,1.75,1050,5850,1.0,3,1050,0,1980,0,98166,262.5,45,241729.9364774819
3.0,1.5,1710,4500,1.5,3,1410,300,1928,0,98118,427.5,97,399750.3302144944
3.0,1.0,1200,7280,1.0,4,1200,0,1967,0,98032,300.0,58,100481.46710435784
4.0,2.25,2260,41984,1.0,4,2260,0,1967,0,98033,452.0,58,757574.0259619957
3.0,2.5,1600,1936,2.0,3,1600,0,2007,0,98108,400.0,18,352490.72702222655
3.0,3.0,3910,19023,2.0,3,3910,0,1985,0,98014,977.5,40,916655.8758582314
2.0,1.75,2050,11900,1.0,4,2050,0,1950,0,98004,683.3333333333334,75,1083634.6049548518
6.0,2.75,2300,24773,1.5,4,2300,0,1950,0,98040,328.57142857142856,75,863875.1967954665
2.0,2.0,1700,3171,1.0,5,850,850,1927,0,98002,566.6666666666666,98,243383.70965401025
3.0,1.0,1150,4945,1.0,3,1150,0,1943,2,98126,287.5,82,440919.2539554577
5.0,2.5,3001,5710,2.0,3,3001,0,2006,0,98030,500.1666666666667,19,500198.5310423235
3.0,1.75,1490,9800,1.0,4,1140,350,1947,0,98004,372.5,78,914812.7182211993
3.0,1.0,1500,4100,1.5,3,1370,130,1926,0,98107,375.0,99,521224.95865760057
2.0,2.0,1860,10856,1.0,3,1260,600,1952,0,98178,620.0,73,300975.62281593983
3.0,1.75,1020,7020,1.5,4,1020,0,1953,0,98155,255.0,72,260804.38573671493
5.0,3.75,3090,7415,2.0,3,3090,0,2014,0,98148,515.0,11,588905.0732943494
3.0,1.5,2320,7500,1.0,3,2320,0,1976,0,98019,580.0,49,458924.1782071115
4.0,2.25,2540,228254,1.0,3,1450,1090,1990,0,98019,508.0,35,408425.97817932663
3.0,2.25,1520,1245,3.0,3,1520,0,2004,0,98103,380.0,21,518867.2704790555
4.0,2.5,2250,3916,2.0,3,2250,0,2014,0,98092,450.0,11,320697.9837483149
2.0,1.0,810,4080,1.0,4,810,0,1941,0,98126,270.0,84,300840.1656302261
4.0,1.0,1230,7410,1.5,3,1230,0,1944,0,98166,246.0,81,235266.05141372158
5.0,2.0,1930,6120,1.5,3,1930,0,1941,0,98146,321.6666666666667,84,388022.4956594348
4.0,2.5,2330,9928,2.0,3,2330,0,1998,0,98045,466.0,27,428003.2076661257
2.0,1.0,1120,9912,1.0,4,1120,0,1980,0,98070,373.3333333333333,45,202672.50439027377
3.0,1.75,1900,3000,1.5,5,1070,830,1903,0,98118,475.0,122,444876.7680521407
3.0,3.75,3890,7140,1.0,3,2390,1500,1943,2,98178,972.5,82,781721.2204686711
2.0,2.5,2540,7089,2.0,3,2540,0,2004,0,98116,846.6666666666666,21,772063.44736011
3.0,2.25,1870,9000,1.0,3,1440,430,1978,0,98011,467.5,47,379552.5955181382
3.0,2.5,1620,7410,1.0,5,1620,0,1955,0,98133,405.0,70,462183.1382095326
3.0,1.75,1620,7330,1.0,4,1090,530,1974,0,98034,405.0,51,413836.8281244129
2.0,1.0,820,3844,1.0,4,820,0,1916,0,98133,273.3333333333333,109,254711.6232623068
3.0,1.75,1390,10905,1.0,3,860,530,1957,0,98106,347.5,68,279418.59074658004
3.0,2.5,2610,7256,2.0,3,2610,0,2014,0,98033,652.5,11,794654.1562809427
3.0,1.0,1230,8114,1.0,4,1230,0,1951,0,98004,307.5,74,870836.5623606427
3.0,1.75,1150,9600,1.0,3,1150,0,1979,0,98045,287.5,46,209934.94253014046
1.0,1.0,700,5100,1.0,3,700,0,1942,0,98115,350.0,83,410485.14544797793
4.0,3.0,2330,3497,2.0,3,1920,410,2003,0,98108,466.0,22,464706.72585069784
3.0,1.75,2310,11200,1.0,4,1630,680,1978,0,98030,577.5,47,362517.17013330304
3.0,2.5,2080,9827,2.0,3,2080,0,1989,0,98023,520.0,36,286122.1918291054
3.0,2.5,2490,4000,2.0,5,1670,820,1918,0,98109,622.5,107,972044.7159271586
3.0,1.75,1510,8301,1.0,3,1510,0,1967,0,98034,377.5,58,420497.09901122923
4.0,1.5,1390,7200,1.0,3,1140,250,1965,0,98133,278.0,60,301450.1603126101
5.0,3.25,3240,6551,1.5,4,2500,740,1939,4,98115,540.0,86,1088497.7319730402
2.0,1.0,800,6380,1.0,3,800,0,1940,2,98115,266.6666666666667,85,521084.75393727515
2.0,2.0,1460,9052,1.0,5,1460,0,1900,2,98033,486.6666666666667,125,759009.0281729464
2.0,2.5,1240,2689,2.0,3,1240,0,1986,0,98003,413.3333333333333,39,157285.18042933889
2.0,1.75,1510,4980,1.0,3,1510,0,2006,0,98053,503.3333333333333,19,467764.1679749815
4.0,2.5,2341,9594,2.0,3,2341,0,1997,0,98052,468.2,28,639947.9661219215
4.0,1.75,2090,8164,1.0,4,1070,1020,1963,0,98052,418.0,62,528520.6137664192
3.0,2.25,1970,2377,2.0,3,1680,290,2008,0,98108,492.5,17,395673.22897100414
3.0,1.0,990,6750,1.0,4,990,0,1947,0,98133,247.5,78,267878.8089772558
2.0,2.5,1150,2064,2.0,3,1150,0,2004,0,98001,383.3333333333333,21,136742.1972266832
2.0,1.0,720,4840,1.0,4,720,0,1947,0,98126,240.0,78,280505.40914832096
5.0,3.0,2870,4369,2.0,3,2090,780,2007,0,98011,478.3333333333333,18,507208.03842130717
4.0,2.5,2690,18653,2.0,3,2690,0,1985,0,98074,538.0,40,642977.5746763712
4.0,2.5,2960,5054,2.0,3,2960,0,2006,0,98038,592.0,19,508805.40675840725
3.0,1.0,1500,3920,1.0,3,1000,500,1947,0,98107,375.0,78,496831.1259431543
4.0,1.5,1950,12559,1.5,3,1950,0,1939,0,98188,390.0,86,257316.8604909184
4.0,1.75,1940,6909,1.0,4,970,970,1941,0,98133,388.0,84,381991.4937624345
4.0,2.5,2260,3713,2.0,3,2260,0,2003,0,98034,452.0,22,544878.8448204849
3.0,2.5,1580,1161,2.0,3,1010,570,2008,0,98112,395.0,17,812199.4568285539
3.0,1.75,1660,10150,1.5,3,1660,0,1957,0,98133,415.0,68,391824.96935193526
3.0,1.0,1180,11862,1.0,4,1180,0,1948,0,98177,295.0,77,435906.6732000679
3.0,1.75,1570,15330,1.0,3,1080,490,1956,0,98166,392.5,69,310167.4193882247
3.0,2.25,1670,1596,2.0,3,1220,450,2002,0,98199,417.5,23,601680.9102165375
5.0,2.25,2890,12478,2.0,3,2890,0,1977,0,98074,481.6666666666667,48,662064.6792170765
3.0,2.5,1690,5025,2.0,3,1690,0,2003,0,98023,422.5,22,201339.29795324994
3.0,2.25,2180,7741,2.0,3,2180,0,1986,0,98074,545.0,39,546663.0796910876
4.0,1.75,1980,9000,1.0,2,1480,500,1978,0,98023,396.0,47,190184.95134409342
2.0,1.75,1210,1032,2.0,3,1210,0,2014,0,98029,403.3333333333333,11,378508.2834203263
3.0,2.25,1620,1075,3.0,3,1540,80,2009,0,98029,405.0,16,426035.6066151536
2.0,1.5,1480,7276,1.0,4,940,540,1978,0,98056,493.3333333333333,47,288267.3949417678
3.0,2.5,3010,7014,2.0,3,3010,0,2009,0,98059,752.5,16,605486.6898220386
3.0,2.25,2090,12112,2.0,3,2090,0,1983,0,98052,522.5,42,600800.0959493438
3.0,2.5,1720,1916,2.0,3,1720,0,2005,0,98056,430.0,20,343533.7965565686
4.0,2.5,3002,6042,2.0,3,3002,0,2004,0,98031,600.4,21,504618.95131249767
4.0,2.0,2030,103672,1.0,4,2030,0,1969,0,98022,406.0,56,333446.7328673948
4.0,1.75,1200,7680,1.0,3,1200,0,1968,0,98092,240.0,57,119631.28557907714
3.0,1.5,1470,14821,1.0,4,1470,0,1958,0,98042,367.5,67,218643.41764935525
4.0,3.0,3370,7920,1.0,3,1860,1510,1988,3,98117,674.0,37,953887.8799650453
3.0,2.0,1540,7947,1.0,3,1120,420,1961,0,98011,385.0,64,307711.47540558234
2.0,1.0,1470,6120,1.0,2,1470,0,1940,0,98115,490.0,85,535492.7233142012
3.0,2.0,1380,4800,1.0,3,1380,0,1948,0,98119,345.0,77,689086.0687988665
3.0,1.75,1820,22320,1.0,3,1250,570,1977,0,98053,455.0,48,468021.79080447217
3.0,2.0,1530,8925,1.0,3,1530,0,1977,0,98011,382.5,48,341550.3221814067
3.0,1.75,1760,7482,1.0,4,1760,0,1966,0,98023,440.0,59,252830.28557169676
4.0,3.25,4700,9160,1.0,3,2520,2180,2005,4,98116,940.0,20,1242687.6929662728
3.0,1.0,1080,8100,1.0,4,1080,0,1955,0,98155,270.0,70,266241.00362057454
3.0,1.75,2000,9900,1.0,4,1480,520,1957,2,98166,500.0,68,524996.0014617253
3.0,1.75,2200,14630,1.5,3,2200,0,1948,1,98004,550.0,77,1113716.379606112
2.0,1.75,2040,28593,1.5,4,2040,0,1919,7,98070,680.0,106,790641.9255333042
4.0,2.75,2910,18700,1.0,3,2210,700,1957,0,98177,582.0,68,741419.0237749378
3.0,2.5,1630,7700,1.0,3,1120,510,1978,0,98031,407.5,47,222488.2324600793
4.0,3.25,2780,7875,2.0,3,2780,0,2006,0,98133,556.0,19,626161.2287825777
